brand,model,release_year,ram_gb,storage_gb,screen_size_inches,battery_capacity,processor_score,camera_score,os_type,has_5g,original_price,purchase_year,age_months,usage_hours_per_day,condition,battery_health,screen_cracked,body_damage,repair_history,water_damage,city_tier,seller_type,warranty_remaining_months,box_available,charger_available,market_demand_score,resale_price
Apple,iPhone 15,2021,12,512,6.77,4159,69,50,iOS,1,80675,2022,51,6.4,Excellent,97,0,0,0,0,Tier3,Store,0,0,1,47,18143.48
Google,Pixel 6,2024,16,128,6.8,5504,55,59,Android,1,109059,2025,1,2.9,Good,59,1,0,0,0,Tier2,Individual,16,0,1,94,44779.54
Apple,iPhone 12,2022,12,128,6.01,6287,83,59,iOS,0,129247,2023,26,2.1,Poor,89,0,0,0,0,Tier3,Store,21,1,1,43,27081.71
OnePlus,OnePlus 11,2022,12,512,6.86,6443,46,93,Android,1,128269,2022,7,1.3,Poor,80,1,0,1,0,Tier2,Individual,0,1,1,44,15294.01
Apple,iPhone 13,2023,8,1024,6.25,3352,79,59,iOS,1,91783,2024,59,9.2,Fair,62,0,0,0,0,Tier2,Individual,9,1,1,87,17980.52
OnePlus,OnePlus 10,2025,4,256,6.16,3290,74,45,Android,0,138302,2025,54,9.9,Poor,100,0,0,0,0,Tier3,Individual,20,0,1,64,24971.95
OnePlus,OnePlus 10,2020,12,128,5.77,3423,51,98,Android,1,136334,2023,18,1.2,Excellent,97,0,0,0,0,Tier3,Individual,0,0,1,54,59562.14
Vivo,Vivo V27,2019,8,1024,6.64,3584,46,71,Android,1,41906,2021,12,3.8,Fair,80,0,0,0,0,Tier3,Store,20,1,0,47,12452.02
OnePlus,OnePlus 11,2020,12,128,6.63,6361,100,57,Android,1,51203,2022,59,3.0,Good,89,0,0,0,0,Tier3,Individual,4,0,1,56,11308.99
Apple,iPhone 12,2024,8,128,6.57,3636,54,73,iOS,1,24455,2025,55,6.4,Good,91,0,0,0,0,Tier2,Store,24,1,0,81,11505.38
Xiaomi,Mi 11,2025,12,64,6.35,6149,96,54,Android,1,20647,2025,12,8.7,Good,69,0,0,0,0,Tier2,Individual,6,1,1,88,12732.23
Google,Pixel 6,2020,8,128,5.78,6332,56,88,Android,1,55662,2023,27,4.9,Poor,60,0,0,1,0,Tier1,Individual,2,0,1,43,4669.59
Google,Pixel 7,2021,8,1024,6.52,3986,81,52,Android,1,75448,2021,12,10.6,Good,66,0,0,0,0,Tier3,Individual,18,1,1,64,28894.94
Xiaomi,Poco X5,2023,12,128,6.65,4756,68,85,Android,1,24995,2024,23,3.3,Excellent,67,0,0,0,0,Tier2,Individual,2,1,1,47,3627.72
Google,Pixel 8,2025,4,512,6.14,4507,56,73,Android,0,82084,2025,18,8.2,Excellent,97,0,0,0,0,Tier3,Store,16,1,1,53,36991.75
Realme,Realme Narzo 60,2025,16,64,6.2,4978,43,66,Android,0,65783,2025,44,5.1,Fair,71,0,0,1,0,Tier2,Individual,10,0,1,76,7617.33
Google,Pixel 8,2025,6,512,6.45,5598,86,55,Android,1,19929,2025,3,5.5,Good,81,1,0,0,0,Tier2,Individual,0,1,0,90,8128.39
Apple,iPhone 14,2025,8,256,5.65,6024,66,60,iOS,1,42841,2025,28,2.6,Good,77,0,1,1,0,Tier2,Individual,14,1,1,61,13110.84
Vivo,Vivo V27,2025,16,64,5.9,3609,62,49,Android,0,71260,2025,13,7.1,Poor,62,0,0,0,0,Tier3,Store,0,0,0,71,9780.52
Google,Pixel 6,2024,6,64,5.72,5165,72,74,Android,1,135580,2025,38,11.5,Good,95,0,0,0,0,Tier2,Store,0,1,1,71,53922.24
Vivo,Vivo V27,2025,8,1024,6.42,3615,40,89,Android,0,102853,2025,68,2.8,Good,88,0,0,0,0,Tier2,Individual,0,1,1,52,18201.78
OnePlus,OnePlus 9,2022,12,64,6.38,3384,90,88,Android,1,90269,2022,62,3.8,Fair,66,0,0,0,0,Tier3,Individual,0,1,1,59,11402.15
Realme,Realme GT,2021,4,512,5.81,6243,88,54,Android,1,12444,2025,41,3.9,Good,81,0,0,0,0,Tier3,Store,5,1,1,68,5479.51
Google,Pixel 8,2024,4,256,5.77,5503,85,67,Android,1,89448,2025,17,9.0,Good,84,0,0,0,0,Tier1,Individual,20,1,1,87,52685.09
Realme,Realme GT,2021,6,128,6.97,5419,63,60,Android,0,105395,2022,31,11.8,Fair,99,0,1,0,0,Tier3,Store,21,1,0,81,30694.42
OnePlus,OnePlus 9,2019,8,512,5.51,4637,76,91,Android,1,60725,2021,2,6.9,Poor,88,0,0,0,0,Tier1,Individual,8,1,1,50,12991.71
Samsung,Galaxy A54,2023,4,64,6.72,6270,40,54,Android,1,92998,2024,13,12.0,Excellent,72,0,1,0,0,Tier3,Store,14,1,1,49,27318.87
Samsung,Galaxy S23,2020,4,256,6.93,5733,61,99,Android,1,89720,2020,65,8.2,Good,66,0,0,0,0,Tier2,Store,22,1,1,66,15939.3
Google,Pixel 7,2022,8,1024,6.29,3228,40,79,Android,1,102270,2024,48,7.5,Fair,62,1,0,1,0,Tier2,Individual,21,1,1,78,15344.57
Vivo,Vivo V27,2023,4,1024,5.85,5716,86,66,Android,0,58242,2025,42,1.8,Fair,66,1,0,0,0,Tier3,Individual,14,0,1,51,7250.2
Apple,iPhone 12,2019,6,512,6.49,3925,55,78,iOS,1,51624,2020,9,9.9,Excellent,90,0,0,0,0,Tier1,Store,6,1,1,43,22270.63
Samsung,Galaxy S21,2020,8,512,6.12,4288,46,66,Android,1,108135,2020,49,6.6,Good,83,0,0,0,0,Tier1,Store,19,0,0,99,44651.6
Realme,Realme Narzo 60,2022,4,1024,6.14,3388,47,62,Android,1,83920,2022,24,5.7,Good,79,0,0,0,0,Tier1,Store,0,1,1,97,39598.74
Realme,Realme GT,2021,4,128,6.67,3245,75,40,Android,1,76957,2022,8,3.6,Fair,62,0,0,0,0,Tier1,Store,0,1,1,72,22907.36
OnePlus,OnePlus 9,2022,16,64,6.61,3335,50,51,Android,1,45975,2024,29,9.3,Poor,86,0,0,0,0,Tier2,Individual,4,1,1,49,9441.5
Vivo,Vivo V27,2023,8,64,6.17,4819,65,64,Android,1,66251,2023,24,7.8,Fair,56,1,0,1,0,Tier2,Store,0,0,1,72,7040.07
Samsung,Galaxy A54,2025,4,64,6.13,3075,94,52,Android,1,10246,2025,59,5.8,Good,66,0,0,0,0,Tier2,Individual,0,1,1,61,3895.74
Apple,iPhone 12,2019,6,512,6.48,4909,97,92,iOS,1,82424,2023,16,2.9,Fair,65,0,0,0,0,Tier3,Individual,4,1,1,64,25987.99
Xiaomi,Poco X5,2023,6,1024,6.32,3467,42,89,Android,1,25933,2024,50,10.5,Good,62,0,0,0,0,Tier2,Store,15,0,1,86,5573.02
OnePlus,Nord 3,2022,16,64,6.01,3271,82,47,Android,1,87007,2025,33,8.7,Good,80,0,0,0,0,Tier1,Individual,0,0,1,62,25304.65
